CV_Sentences;Sentences_CV_clean;CV_Number;Sentence_line;Nb_tokens;%texte_lu;%texte_lu_fin_ligne;Is_alpha;Grammar;Label
SELMA LAFKIR CORDE 80 CODEUSE ENTHOUSIASTE;SELMA LAFKIR CORDE 80 CODEUSE ENTHOUSIASTE;CV_1;0;6;2.80;97.20;[True, True, True, False, True, True];['NOUN', 'PROPN', 'VERB', 'NUM', 'PROPN', 'PROPN'];1
PROFIL;PROFIL;CV_1;1;1;3.27;96.73;[True];['NOUN'];0
PERSONNEL Je suis étudiante au lycée Condorcet.;PERSONNEL Je suis étudiante au lycée Condorcet.;CV_1;2;8;7.01;92.99;[True, True, True, True, True, True, True, False];['NOUN', 'PRON', 'AUX', 'ADJ', 'ADP', 'NOUN', 'PROPN', 'PUNCT'];0
Je code depuis l'âge de 13 ans et j'aime créer des sites Web et utiliser la technologie pour aider les gens.;Je code depuis l'âge de 13 ans et j'aime créer des sites Web et utiliser la technologie pour aider les gens.;CV_1;3;24;18.22;81.78;[True, True, True, False, True, True, False, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, False];['PRON', 'VERB', 'ADP', 'DET', 'NOUN', 'ADP', 'NUM', 'NOUN', 'CCONJ', 'PRON', 'VERB', 'VERB', 'DET', 'NOUN', 'PROPN', 'CCONJ', 'VERB', 'DET', 'NOUN', 'ADP', 'VERB', 'DET', 'NOUN', 'PUNCT'];0
RÉALISATIONS;RÉALISATIONS;CV_1;4;1;18.69;81.31;[True];['NOUN'];0
Chef d'équipe du site Web du lycée;Chef d'équipe du site Web du lycée;CV_1;5;8;22.43;77.57;[True, False, True, True, True, True, True, True];['NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'NOUN', 'ADP', 'NOUN'];0
-;-;CV_1;6;1;22.90;77.10;[False];['PUNCT'];0
Vice-présidente du club cinématographique du lycée;Vice-présidente du club cinématographique du lycée;CV_1;7;6;25.70;74.30;[False, True, True, True, True, True];['NOUN', 'ADP', 'NOUN', 'ADJ', 'ADP', 'NOUN'];0
- Trésorière de la société des codeurs du lycée -;- Trésorière de la société des codeurs du lycée -;CV_1;8;10;30.37;69.63;[False, True, True, True, True, True, True, True, True, False];['PUNCT', 'NOUN', 'ADP', 'DET', 'NOUN', 'ADP', 'NOUN', 'ADP', 'NOUN', 'NOUN'];0
Premier prix au Hackathon de Condorcet EXPÉRIENCE Tuteur en mathématiques;Premier prix au Hackathon de Condorcet EXPÉRIENCE Tuteur en mathématiques;CV_1;9;10;35.05;64.95;[True, True, True, True, True, True, True, True, True, True];['ADJ', 'NOUN', 'ADP', 'NOUN', 'ADP', 'PROPN', 'NOUN', 'NOUN', 'ADP', 'NOUN'];0
Centre scolaire de Condorcet Jan 2019;Centre scolaire de Condorcet Jan 2019;CV_1;10;6;37.85;62.15;[True, True, True, True, True, False];['NOUN', 'ADJ', 'ADP', 'PROPN', 'PROPN', 'NUM'];0
